launch_date,year,decade,mission_success,rocket_family_grouped,launch_site_grouped,country_grouped,payload_capacity_kg,payload_capacity_known,vehicle_prior_flights,vehicle_prior_success_rate,site_prior_flights,site_prior_success_rate,country_prior_flights,country_prior_success_rate,vehicle_age_days,weather_available,wind_speed_max_kmh,temp_max_c,precipitation_mm
1957-10-04 19:28:00,1957.0,1950.0,1,other,Site 1/5,Kazakhstan,10750,False,0,0.9037636969985707,0,0.9037636969985707,0,0.9037636969985707,0,True,13.0,29.1,0.0
1957-11-03 02:30:00,1957.0,1950.0,1,other,Site 1/5,Kazakhstan,10750,False,1,1.0,1,1.0,1,1.0,29,True,15.9,12.2,0.0
1957-12-06 16:44:00,1957.0,1950.0,0,Vanguard,LC-18A,USA,10750,False,0,0.9037636969985707,0,0.9037636969985707,0,0.9037636969985707,0,False,,,
1958-02-01 03:48:00,1958.0,1950.0,1,other,other,USA,10750,False,0,0.9037636969985707,0,0.9037636969985707,1,0.0,0,False,,,
1958-02-05 07:33:00,1958.0,1950.0,0,Vanguard,LC-18A,USA,10750,False,1,0.0,1,0.0,2,0.5,60,False,,,
1958-03-05 18:27:00,1958.0,1950.0,0,other,other,USA,10750,False,1,1.0,1,1.0,3,0.3333333333333333,32,False,,,
1958-03-17 12:15:00,1958.0,1950.0,1,Vanguard,LC-18A,USA,10750,False,2,0.0,2,0.0,4,0.25,100,False,,,
1958-03-26 17:38:00,1958.0,1950.0,1,other,LC-5,USA,10750,False,2,0.5,0,0.9037636969985707,5,0.4,53,False,,,
1958-04-27 09:01:00,1958.0,1950.0,0,other,Site 1/5,Kazakhstan,10750,False,0,0.9037636969985707,2,1.0,2,1.0,0,True,31.3,12.9,0.0
1958-04-28 02:53:00,1958.0,1950.0,0,Vanguard,LC-18A,USA,10750,False,3,0.3333333333333333,3,0.3333333333333333,6,0.5,142,False,,,
1958-05-15 07:12:00,1958.0,1950.0,1,other,Site 1/5,Kazakhstan,10750,False,1,0.0,3,0.6666666666666666,3,0.6666666666666666,17,True,38.6,25.0,3.3
1958-05-28 03:46:00,1958.0,1950.0,0,Vanguard,LC-18A,USA,10750,False,4,0.25,4,0.25,7,0.42857142857142855,172,False,,,
1958-06-26 05:00:00,1958.0,1950.0,0,Vanguard,LC-18A,USA,10750,False,5,0.2,5,0.2,8,0.375,201,False,,,
1958-07-26 15:00:00,1958.0,1950.0,1,other,LC-5,USA,10750,False,3,0.6666666666666666,1,1.0,9,0.3333333333333333,175,False,,,
1958-08-17 12:18:00,1958.0,1950.0,0,other,SLC-17A,USA,10750,False,0,0.9037636969985707,0,0.9037636969985707,10,0.4,0,False,,,
1958-08-24 06:17:00,1958.0,1950.0,0,other,LC-5,USA,10750,False,4,0.75,2,1.0,11,0.36363636363636365,204,False,,,
1958-09-23 07:40:00,1958.0,1950.0,0,Vostok,Site 1/5,Kazakhstan,4730,True,0,0.9037636969985707,4,0.75,4,0.75,0,True,20.0,17.1,0.0
1958-09-26 15:38:00,1958.0,1950.0,0,Vanguard,LC-18A,USA,10750,False,6,0.16666666666666666,6,0.16666666666666666,12,0.3333333333333333,293,False,,,
1958-10-11 08:42:00,1958.0,1950.0,0,other,SLC-17A,USA,10750,False,1,0.0,1,0.0,13,0.3076923076923077,54,False,,,
1958-10-11 21:41:00,1958.0,1950.0,0,Vostok,Site 1/5,Kazakhstan,4730,True,1,0.0,5,0.6,5,0.6,18,True,12.2,11.9,0.0
1958-10-23 03:21:00,1958.0,1950.0,0,other,LC-5,USA,10750,False,5,0.6,3,0.6666666666666666,14,0.2857142857142857,263,False,,,
1958-11-08 07:30:00,1958.0,1950.0,0,other,SLC-17A,USA,10750,False,2,0.0,2,0.0,15,0.26666666666666666,82,False,,,
1958-12-04 18:18:00,1958.0,1950.0,0,Vostok,Site 1/5,Kazakhstan,4730,True,2,0.0,6,0.5,6,0.5,72,True,30.3,5.4,0.0
1958-12-06 05:44:00,1958.0,1950.0,0,other,LC-5,USA,10750,False,0,0.9037636969985707,4,0.5,16,0.25,0,False,,,
1958-12-18 23:02:00,1958.0,1950.0,1,other,other,USA,10750,False,0,0.9037636969985707,0,0.9037636969985707,17,0.23529411764705882,0,False,,,
1959-01-02 16:41:00,1959.0,1950.0,0,Vostok,Site 1/5,Kazakhstan,4730,True,3,0.0,7,0.42857142857142855,7,0.42857142857142855,101,True,21.5,-10.2,1.5
1959-02-17 15:55:00,1959.0,1950.0,1,Vanguard,LC-18A,USA,10750,False,7,0.14285714285714285,7,0.14285714285714285,18,0.2777777777777778,437,False,,,
1959-02-28 21:49:00,1959.0,1950.0,0,Thor-DM18 Agena-A,SLC-1W (75-3-4),USA,10750,False,0,0.9037636969985707,0,0.9037636969985707,19,0.3157894736842105,0,False,,,
